"business","registerid","storeid"
redgoldrestaurant,"652685b0be099e00072854db","5e8450590f25c16d25d71043"
duwa,"6327d9b229ddaf0008799637","6327d9b229ddaf0008799630"
eommakoreanfoodieopc,"668359e21e487b0007b7f564","6683545d1d48680006f49ea7"
pumpkinarttown,"5bb43be850f41f0745db9dcb","5bb43183a850b40353f74487"
gosfordmangosresort,"64a26fb15cf7f800076f322b","64716957854d470009c3203b"
superkitchen,"63eef077722d03428f6fc54e","62a2ffbd77a9ed0007960f15"
ratarestaurant,"6486f08d0de8825964ec0634","649af39abd7e5a00073d7010"
brittanyhotel,"645efba68f0de2000804814c","645efb84e1298a000766f02c"
marjanhalalmart,"5f5f0b77b2ef5500069c55dd","5f5f0b77b2ef5500069c55dc"
fortgarrison,"656039b64f78bb0007f3e415","656039b64f78bb0007f3e413"
lankwaispeakeasyqc,"642c048c2411f00007a5513a","642c048c2411f00007a55136"
himorningsdnbhd,"5acc32700e1f715668274de9","5acc32700e1f715668274de8"
pin,"5d94748734ddd61e0428d84a","5d9566c0c926b7060117db0c"
tarikbistro,"66aff5bb78859d0007a106ee","66aff5bb78859d0007a106ec"
kedeykamek,"61aedde76856020006d58c12","61de93079b7e57000644b116"
happytummieskitchen,"66260a758dee72000799b591","66260a758dee72000799b58e"
cafenoelle,"65a08cd8cea52800070b83b2","65a08ccca3dfa600075c83e3"
osuklsdnbhd,"6698cddad07f610007790eed","6698cddad07f610007790eeb"
kedeykamek,"6197b88588960400060b67d2","61b09481abb9fe000737d1e9"
hugginhippo,"595509f2275c6f7b10646789","5d760e3c7ba8a51303b3e670"
goldenappamcafe,"660b6813c343330007d63463","660b6813c343330007d63461"
putchutney,"65ba1a4eaa80780007fa7be2","65ba1a4eaa80780007fa7bdd"
saba,"63350308baf91b21fce93879","5e8ac298a0fe4b015908707d"
prestigecafe,"65e1b25906f9de00087db00b","65e1b25906f9de00087db009"
restorandaunkesom,"64cbcbc95e31d20006c8cfc0","64cbcbc95e31d20006c8cfbd"
amkicafe,"63ad7236f1097d0007048a1f","63ad7236f1097d0007048a1c"
nzcoffeeco,"650eb57404af4e000719bf22","650eb57404af4e000719bf20"
ecosanctuarieselnido,"634a18d2d8e34c000704f9e7","634a18d2d8e34c000704f9e5"
dswinebar,"6349940b741e370007b81517","6349940b741e370007b81515"
pawfectplanet,"63ac65043f87c80007526d91","63ac65043f87c80007526d8f"
cris,"5d720e121ff21d4894cd344e","59af95539eb279515bfd0741"
kantatakl,"62722e788c99de00085066dd","62722e788c99de00085066db"
orientaldeli,"658591fe02dbd0000768f0b2","65858f56059feb0007163527"
eathamicafe,"661e3da5f0ef3f0007fed416","661dec22348cb200074ade86"
chanchaidynamoair,"65b8681c80e4e10007852a76","65b8681c80e4e10007852a74"
harmenstone,"6479ac371750470007e2455e","5a8d9670262da6687b6207b3"
morethancoffee,"666be44d0edbaf000762bb94","666be44d0edbaf000762bb90"
btfcrestaurant,"64b8fa457fd34d0007230914","64b8fa457fd34d0007230911"
westlake,"65c04b586d0aee00078763ce","65c04b586d0aee00078763bb"
ucopgadget,"628f45a4288566000759dea4","628f45a4288566000759de98"
t42,"5e0062ffb416f003ac978c2f","5e0062ffb416f003ac978c2e"
malayagrillsungaibuloh,"64ed57aa2fa6e00007fada85","64ed57aa2fa6e00007fada83"
afzamobile,"65d407758ee8610006715d54","65d407758ee8610006715d52"
suwonkinggalbichicken,"64f964aef592ed0007845d20","64f964aef592ed0007845d1e"
siblinc,"66b07d1dcc2e3400071394d1","66b07d1dcc2e3400071394cf"
toriya,"645a0e8a7cfa1400067cfcf4","645a0e8a7cfa1400067cfcf2"
highlandgrocer,"62f65263ade2c0000709e87c","5f2d193af37546000693168d"
pn6melaka,"66f37f06f3df360007cd1bdf","66f37f06f3df360007cd1bdb"
starwaz,"6388525536fb610007e1e0bb","637ca870806bab0007f1675f"
baskcoffeehouse,"660bcf4441c60e000719dc6b","660bcf4441c60e000719dc69"
leafletcafe,"6632fe734989930007326a63","6632fe734989930007326a61"
